Property_ID,Swimming_Pool,Gym,Garden,Lift,Security,Power_Backup,Club_House,CCTV,Childrens_Play_Area
P05863,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05864,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05865,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05866,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
P05867,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05868,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05869,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05870,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05871,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05872,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05873,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05874,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05875,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05876,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05877,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05878,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05879,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05880,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05881,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05882,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05883,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05884,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05885,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
P05886,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05887,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05888,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05889,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05890,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05891,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05892,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P05893,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05894,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05895,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05896,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05897,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P05898,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05899,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05900,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05901,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05902,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05903,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05904,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P05905,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05906,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05907,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05908,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05909,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05910,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05911,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05912,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05913,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05914,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05915,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05916,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05917,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P05918,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05919,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05920,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P05921,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05922,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05923,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05924,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05925,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05926,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05927,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P05928,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P05929,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05930,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05931,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05932,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05933,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05934,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05935,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P05936,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05937,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05938,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05939,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05940,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05941,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05942,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05943,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05944,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05945,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05946,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P05947,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05948,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05949,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05950,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05951,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05952,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05953,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05954,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05955,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05956,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05957,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P05958,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05959,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P05960,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05961,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05962,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P05963,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05964,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05965,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05966,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05967,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P05968,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05969,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05970,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P05971,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05972,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05973,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05974,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05975,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05976,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05977,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05978,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05979,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05980,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05981,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05982,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P05983,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05984,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05985,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05986,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05987,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05988,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P05989,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05990,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05991,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P05992,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05993,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05994,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P05995,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05996,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05997,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P05998,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P05999,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06000,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06001,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06002,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06003,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06004,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P06005,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
P06006,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06007,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P06008,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06009,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
P06010,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06011,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06012,Yes,Yes,No,No,Yes,Yes,No,Yes,No
P06013,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06014,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06015,No,No,Yes,No,Yes,Yes,Yes,Yes,No
P06016,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06017,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
P06018,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
P06019,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
P06020,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
P06021,No,No,Yes,No,No,Yes,Yes,Yes,Yes
P06022,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06023,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06024,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06025,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06026,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06027,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06028,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P06029,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06030,No,Yes,Yes,Yes,Yes,No,No,Yes,No
P06031,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
P06032,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
P06033,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
P06034,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06035,No,Yes,Yes,Yes,Yes,Yes,No,No,No
P06036,No,Yes,Yes,Yes,Yes,Yes,No,No,No
P06037,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
P06038,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06039,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P06040,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06041,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06042,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06043,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P06044,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06045,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
P06046,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06047,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06048,Yes,Yes,No,Yes,Yes,No,Yes,No,No
P06049,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
P06050,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P06051,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06052,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P06053,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06054,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06055,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06056,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
P06057,Yes,No,Yes,No,Yes,No,No,Yes,Yes
P06058,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
P06059,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
P06060,No,Yes,Yes,No,Yes,No,No,Yes,No
P06061,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06062,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
P06063,No,Yes,No,Yes,Yes,Yes,No,Yes,No
P06064,No,Yes,No,Yes,Yes,No,No,Yes,Yes
P06065,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06066,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06067,No,No,No,Yes,Yes,Yes,No,Yes,Yes
P06068,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06069,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P06070,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06071,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06072,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06073,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
P06074,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06075,No,Yes,Yes,No,Yes,No,No,Yes,No
P06076,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
P06077,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06078,No,No,No,Yes,Yes,Yes,Yes,Yes,No
P06079,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06080,No,Yes,Yes,No,No,No,Yes,Yes,No
P06081,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
P06082,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P06083,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
P06084,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06085,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06086,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P06087,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06088,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06089,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06090,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06091,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06092,Yes,Yes,Yes,No,Yes,No,Yes,No,No
P06093,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
P06094,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06095,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06096,No,Yes,Yes,Yes,Yes,No,No,Yes,No
P06097,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
P06098,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06099,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06101,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06102,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06103,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
P06104,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P06105,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
P06106,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06107,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06108,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06109,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06110,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
P06111,Yes,No,No,Yes,Yes,Yes,No,No,Yes
P06112,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
P06113,Yes,No,Yes,Yes,No,Yes,No,Yes,No
P06114,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06115,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06116,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
P06117,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06118,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06119,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06120,Yes,No,No,Yes,Yes,No,Yes,No,Yes
P06121,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
P06122,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
P06123,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
P06124,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06125,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06126,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06127,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
P06128,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P06129,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06130,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06131,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06132,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06133,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
P06134,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P06135,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06136,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P06137,No,Yes,Yes,Yes,No,Yes,No,Yes,No
P06138,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06139,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P06140,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06141,Yes,Yes,No,Yes,Yes,No,No,Yes,No
P06142,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06143,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06144,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06145,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06146,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06147,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06148,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06149,Yes,No,No,No,Yes,Yes,Yes,Yes,No
P06150,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06151,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
P06152,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
P06153,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06154,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06155,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06156,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06157,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06158,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
P06159,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P06160,No,Yes,No,Yes,Yes,Yes,No,Yes,No
P06161,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06162,No,Yes,Yes,No,Yes,Yes,No,Yes,No
P06163,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06164,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06165,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
P06166,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06167,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06168,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06169,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
P06170,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06171,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06172,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P06173,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06174,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06175,No,No,No,No,Yes,Yes,Yes,Yes,No
P06176,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06177,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
P06178,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06179,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P06180,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
P06181,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
P06182,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06183,No,Yes,Yes,Yes,Yes,No,Yes,No,No
P06184,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P06185,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06186,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06187,Yes,No,No,No,Yes,No,No,Yes,Yes
P06188,Yes,No,No,Yes,Yes,No,No,Yes,No
P06189,No,Yes,No,Yes,Yes,Yes,No,Yes,No
P06190,Yes,No,No,Yes,Yes,Yes,No,Yes,No
P06191,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
P06192,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06193,No,Yes,No,No,Yes,Yes,No,Yes,Yes
P06194,No,No,Yes,Yes,No,Yes,Yes,Yes,No
P06195,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
P06196,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06197,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
P06198,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
P06199,No,Yes,Yes,No,No,Yes,No,Yes,Yes
P06200,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06201,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06202,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P06203,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06204,Yes,No,No,Yes,Yes,Yes,No,No,Yes
P06205,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
P06206,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06207,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
P06208,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06209,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
P06210,No,Yes,No,Yes,Yes,No,Yes,No,Yes
P06211,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06212,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
P06213,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
P06214,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
P06215,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06216,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06217,No,Yes,Yes,No,Yes,Yes,No,Yes,No
P06218,Yes,No,Yes,Yes,Yes,No,No,No,No
P06219,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06220,No,Yes,No,Yes,Yes,Yes,No,Yes,No
P06221,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06222,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P06223,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06224,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P06225,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06226,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06227,No,No,No,Yes,Yes,No,No,Yes,No
P06228,No,No,No,Yes,Yes,Yes,No,No,No
P06229,Yes,No,Yes,Yes,Yes,Yes,No,No,No
P06230,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
P06231,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06232,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P06233,Yes,No,No,No,Yes,Yes,No,Yes,Yes
P06234,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P06235,No,Yes,Yes,Yes,No,Yes,No,Yes,No
P06236,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06237,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
P06238,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
P06239,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P06240,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P06241,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
